/* This file requires rewriting of ß to ss in prepro.csv, but no rewriting of ä, ö and ü.
/* It recognizes input with ä, ö, ü as well as with ae, oe, ue.

;;-;KB17, added Hyphen #19-sde;DEKomma;DEHyphen
;;abgeschreckt;deel3;DEPart;
;;abgeschrieben;deel3;DEPart;
;;abgeschüttelt;KB11;DEPart;
;;abgeschwächt;deel2;DEPart;
;;abgeschwächte;KB08;DEAttradj;
;;abgeschwächtem;KB08;DEAttradj;
;;abgeschwächten;KB08;DEAttradj;
;;abgeschwächter;KB08;DEAttradj;
;;abgeschwächtes;KB08;DEAttradj;
;;abgeschwenkt;KB11;DEPart;
;;abgeschworen;deel5;DEPart;
;;abgesegnet;deel2;DEPart;
;;abgesehen;deel2;DEPart;
;;abgesenkt;deel2;DEPart;
;;abgesessen;deel3;DEPart;
;;abgesetzt;;DEPart;
;;abgesetzte;DTI,abgesetzt;DEAttradj;
;;abgesetztem;DTI,abgesetzt;DEAttradj;
;;abgesetzten;DTI,abgesetzt;DEAttradj;
;;abgesetzter;DTI,abgesetzt;DEAttradj;
;;abgesetztes;DTI,abgesetzt;DEAttradj;
;;abgesichert;deel2;DEPart;
;;abgesicherte;KB08;DEAttradj;
;;abgesicherten;KB08;DEAttradj;
;;abgesondert;KB11,absondern;DEPart;
;;abgespalten;deel4;DEPart;
;;abgespaltet;KB11,abspalten;DEPart;
;;abgespeckt;KB11,abspecken;DEPart;
;;abgespeckten;KB08;DEAttradj;
;;abgespeichert;KB07;DEPart;
;;abgespeist;deel4;DEPart;
;;abgesperrt;deel2;DEPart;
;;abgespielt;deel3;DEPart;
;;abgesprochen;;DEPart;
;;abgesprochenen;KB08;DEAttradj;
;;abgesprungen;deel4;DEPart;
;;abgestammt;KB11,abstammen;DEPart;
;;abgestanden;KB11,abstehen;DEPart;
;;abgestattet;deel4;DEPart;
;;abgesteckt;deel4;DEPart;
;;abgestellt;deel2;DEPart;
;;abgestellten;KB08;DEAttradj;
;;abgestempelt;deel5;DEPart;
;;abgestiegen;deel4;DEPart;
;;abgestimmt;;DEPart;
;;abgestimmte;KB08;DEAttradj;
;;abgestimmten;KB08;DEAttradj;
;;abgestossen;KB11,abstossen;DEPart;
;;abgestraft;deel3;DEPart;
;;abgestrichen;KB11,abstreichen;DEPart;
;;abgestritten;deel3;DEPart;
;;abgestürzt;;DEPart;
;;abgestürzte;KB08;DEAttradj;
;;abgestürzten;KB08;DEAttradj;
;;abgestuft;KB14,abstufen;DEPart;
;;abgesucht;deel3;DEPart;
;;abgesunken;KB11,absinken;DEPart;
;;abgetan;deel5;DEPart;
;;abgetaucht;deel4;DEPart;
;;abgetippt;KB11,abtippen;DEPart;
;;abgetötet;KB11,abtöten;DEPart;
;;abgetragen;deel3;DEPart;
;;abgetrennt;deel3;DEPart;
;;abgetrennten;KB08;DEAttradj;
;;abgetreten;deel4;DEPart;
;;abgetrieben;KB11,abtreiben;DEPart;
;;abgeurteilt;KB11,aburteilen;DEPart;
;;abgewägt;KB11,abwägen;DEPart;
;;abgewählt;deel2;DEPart;
;;abgewählte;KB08;DEAttradj;
;;abgewählten;KB08;DEAttradj;
;;abgewälzt;deel3;DEPart;
;;abgewandelt;KB14,abwandeln;DEPart;
;;abgewandert;deel5;DEPart;
;;abgewandt;KB11;DEPart;
;;abgewann;KB11,abgewinnen;DERel;
;;abgewannen;KB11,abgewinnen;DERel;
;;abgewartet;;DEPart;
;;abgewechselt;KB11,abwechseln;DEPart;
;;abgewehrt;KB11,abwehren;DEPart;
;;abgewehrte;DTI,abgewehrt;DEAttradj;
;;abgewehrtem;DTI,abgewehrt;DEAttradj;
;;abgewehrten;DTI,abgewehrt;DEAttradj;
;;abgewehrter;DTI,abgewehrt;DEAttradj;
;;abgewehrtes;DTI,abgewehrt;DEAttradj;
;;abgewendet;;DEPart;
;;abgewertet;KB11;DEPart;
;;abgewichen;deel3;DEPart;
;;abgewickelt;;DEPart;
;;abgewiesen;;DEPart;
;;abgewiesene;KB08;DEAttradj;
;;abgewinkt;DTI,abwinken;DEPart;
;;abgewinne;KB11,abgewinnen;DERel;
;;abgewinnen;KB11;DEInf;
;;abgewinnst;KB11,abgewinnen;DERel;
;;abgewinnt;KB11,abgewinnen;DERel;
;;abgewogen;deel3;DEPart;
;;abgewonnen;KB11,abgewinnen;DEPart;
;;abgeworben;deel5;DEPart;
;;abgeworfen;deel3;DEPart;
;;abgewürgt;KB11,abwürgen;DEPart;
;;abgezeichnet;deel3;DEPart;
;;abgezeigt;KB11,abzeigen;DEPart;
;;abgezielt;KB11,abzielen;DEPart;
;;abgezockt;KB11,abzocken;DEPart;
;;abgezogen;;DEPart;
;;abgezweigt;deel3;DEPart;
;;abgibst;KB11,abgeben;DERel;
;;abgibt;deel4;DERel;
;;abgilt;KB11,abgelten;DERel;
;;abgiltst;KB11,abgelten;DERel;
;;abging;KB11,abgehen;DERel;
;;abgingen;KB11,abgehen;DERel;
;;abgleiche;KB11,abgleichen;DERel;
;;abgleichen;KB11;DEInf;
;;abgleichst;KB11,abgleichen;DERel;
;;abgleicht;KB11,abgleichen;DERel;
;;abgleite;KB11,abgleiten;DERel;
;;abgleiten;KB11,abgleiten;DEInf;
;;abgleitest;KB11,abgleiten;DERel;
;;abgleitet;KB11;DERel;
;;abglich;KB11,abgleichen;DERel;
;;abglichen;KB11,abgleichen;DERel;
;;abglitt;KB11,abgleiten;DERel;
;;abglitten;KB11,abgleiten;DERel;
;;abgrabe;KB11,abgraben;DERel;
;;abgraben;KB11;DEInf;
;;abgrabt;KB11,abgraben;DERel;
;;abgräbst;KB11,abgraben;DERel;
;;abgräbt;KB11,abgraben;DERel;
;;abgrenze;KB11,abgrenzen;DERel;
;;abgrenzen;deel3;DEInf;
;;abgrenzt;KB11,abgrenzen;DERel;
;;abgrenzte;KB11,abgrenzen;DERel;
;;abgrenzten;KB11,abgrenzen;DERel;
;;abgrub;KB11,abgraben;DERel;
;;abgruben;KB11,abgraben;DERel;
;;abhält;KB11,abhalten;DERel;
;;abhältst;KB11,abhalten;DERel;
;;abhänge;deel3;DERelCon;
;;abhängen;deel2;DEInf;
;;abhängig;KB08;DEPredadj;
;;abhängig von;KB09;DEPrep;
;;abhängige;KB08;DEAttradj;
;;abhängst;KB11,abhängen;DERel;
;;abhängt;deel4;DERel;
;;abhake;KB11,abhaken;DERel;
;;abhaken;KB11,abhaken;DEInf;
;;abhakst;KB11,abhaken;DERel;
;;abhakt;KB11,abhaken;DERel;
;;abhakte;KB11,abhaken;DERel;
;;abhakten;KB11,abhaken;DERel;
;;abhalf;KB11,abhelfen;DERel;
;;abhalfen;KB11,abhelfen;DERel;
;;abhalte;KB11,abhalten;DERel;
;;abhalten;;DEInf;
;;abhaltet;KB11,abhalten;DERel;
;;abhandele;KB11,abhandeln;DERel;
;;abhandeln;KB11,abhandeln;DEInf;
;;abhandelst;KB11,abhandeln;DERel;
;;abhandelt;KB11;DERel;
;;abhandelte;KB11,abhandeln;DERel;
;;abhandelten;KB11,abhandeln;DERel;
;;abhebe;KB11,abheben;DERel;
;;abheben;deel4;DEInf;
;;abhebst;KB11,abheben;DERel;
;;abhebt;KB11,abheben;DERel;
;;abhelfe;KB11,abhelfen;DERel;
;;abhelfen;KB11,abhelfen;DEInf;
;;abhelft;KB11,abhelfen;DERel;
;;abhielt;KB11,abhalten;DERel;
;;abhielten;KB11,abhalten;DERel;
;;abhilfst;KB11,abhelfen;DERel;
;;abhilft;KB11,abhelfen;DERel;
;;abhing;KB11,abhängen;DERel;
;;abhingen;KB11,abhängen;DERel;
;;abhob;KB11;DERel;
;;abhoben;KB11,abheben;DERel;
;;abhörbar;KB08;DEPredadj;
;;abhöre;KB11,abhören;DERel;
;;abhören;;DEInf;
;;abhörsichere;DTI,abhörsicher;DEAttradj;
;;abhörsicherem;DTI,abhörsicher;DEAttradj;
;;abhörsicheren;DTI,abhörsicher;DEAttradj;
;;abhörsicherer;DTI,abhörsicher;DEAttradj;
;;abhörsicheres;DTI,abhörsicher;DEAttradj;
;;abhörst;KB11,abhören;DERel;
;;abhört;KB11,abhören;DERel;
;;abhörte;KB11,abhören;DERel;
;;abhörten;KB11,abhören;DERel;
;;abhole;KB11,abholen;DERel;
;;abholen;deel2;DEInf;
;;abholst;KB11,abholen;DERel;
;;abholt;KB11,abholen;DERel;
;;abholte;KB11,abholen;DERel;
;;abholten;KB11,abholen;DERel;
;;abholzen;KB14;DEInf;
;;abkam;deel5;DERel;
;;abkamen;KB11,abkommen;DERel;
;;abkassiere;KB11,abkassieren;DERel;
;;abkassieren;deel3;DEInf;
;;abkassierst;KB11,abkassieren;DERel;
;;abkassiert;deel5;DERel;
;;abkassierte;KB11,abkassieren;DERel;
;;abkassierten;KB11,abkassieren;DERel;
;;abkaufe;KB11,abkaufen;DERel;
;;abkaufen;KB11,abkaufen;DEInf;
;;abkaufst;KB11,abkaufen;DERel;
;;abkauft;KB11,abkaufen;DERel;
;;abkaufte;KB11,abkaufen;DERel;
;;abkauften;KB11,abkaufen;DERel;
;;abkläre;KB11,abklären;DERel;
;;abklären;KB11,abklären;DEInf;
;;abklärst;KB11,abklären;DERel;
;;abklärt;KB11,abklären;DERel;
;;abklärte;KB11,abklären;DERel;
;;abklärten;KB11,abklären;DERel;
;;abklingende;KB08;DEAttradj;
;;abklopfe;KB11,abklopfen;DERel;
;;abklopfen;KB11,abklopfen;DEInf;
;;abklopfst;KB11,abklopfen;DERel;
;;abklopft;KB11,abklopfen;DERel;
;;abklopfte;KB11,abklopfen;DERel;
;;abklopften;KB11,abklopfen;DERel;
;;abknicke;KB11,abknicken;DERel;
;;abknicken;KB11,abknicken;DEInf;
;;abknickst;KB11,abknicken;DERel;
;;abknickt;KB11;DERel;
;;abknickte;KB11,abknicken;DERel;
;;abknickten;KB11,abknicken;DERel;
;;abkoche;KB11,abkochen;DERel;
;;abkochen;KB11,abkochen;DEInf;
;;abkochst;KB11,abkochen;DERel;
;;abkocht;KB11,abkochen;DERel;
;;abkochte;KB11,abkochen;DERel;
;;abkochten;KB11,abkochen;DERel;
;;abkomme;KB11,abkommen;DERel;
;;abkommen;;DERelCon;
;;abkommst;KB11,abkommen;DERel;
;;abkommt;KB11,abkommen;DERel;
;;abkoppele;KB11,abkoppeln;DERel;
;;abkoppeln;deel3;DEInf;
;;abkoppelst;KB11,abkoppeln;DERel;
;;abkoppelt;KB11,abkoppeln;DERel;
;;abkoppelte;KB11,abkoppeln;DERel;
;;abkoppelten;KB11,abkoppeln;DERel;
;;abkühle;KB11,abkühlen;DERel;
;;abkühlen;KB11,abkühlen;DEInf;
;;abkühlst;KB11,abkühlen;DERel;
;;abkühlt;KB11,abkühlen;DERel;
;;abkühlte;KB11,abkühlen;DERel;
;;abkühlten;KB11,abkühlen;DERel;
;;abkürze;KB11,abkürzen;DERel;
;;abkürzen;KB11,abkürzen;DEInf;
;;abkürzt;KB11,abkürzen;DERel;
;;abkürzte;KB11,abkürzen;DERel;
;;abkürzten;KB11,abkürzen;DERel;
;;ablade;KB11,abladen;DERel;
;;abladen;deel4;DEInf;
;;abladet;KB11,abladen;DERel;
;;ablädst;KB11,abladen;DERel;
;;ablädt;KB11,abladen;DERel;
;;ablässt;KB11,ablassen;DERel;
;;abläufe;deel4;DERelCon;
;;abläufst;KB11,ablaufen;DERel;
;;abläuft;KB11,ablaufen;DERel;
;;ablagere;KB11,ablagern;DERel;
;;ablagern;KB11,ablagern;DEInf;
;;ablagerst;KB11,ablagern;DERel;
;;ablagert;KB11,ablagern;DERel;
;;ablagerte;KB11,ablagern;DERel;
;;ablagerten;KB11,ablagern;DERel;
;;ablas;KB11,ablesen;DERel;
;;ablasen;KB11,ablesen;DERel;
;;ablasse;KB11,ablassen;DERel;
;;ablassen;deel5;DEInf;
;;ablasst;KB11,ablassen;DERel;
;;ablaufe;KB11;DERel;
;;ablaufen;deel3;DEInf;
;;ablaufende;KB08;DEAttradj;
;;ablaufenden;KB08;DEAttradj;
;;ablauft;KB11,ablaufen;DERel;
;;ablebe;KB11,ableben;DERel;
;;ableben;KB11;DEInf;
;;ablebst;KB11,ableben;DERel;
;;ablebt;KB11,ableben;DERel;
;;ablebte;KB11,ableben;DERel;
;;ablebten;KB11,ableben;DERel;
;;ableckt;KB14,ablecken;DERel;
;;ablege;KB11,ablegen;DERel;
;;ablegen;deel2;DEInf;
;;ablegst;KB11,ablegen;DERel;
;;ablegt;KB11,ablegen;DERel;
;;ablegte;KB07;DERel;
;;ablegten;KB11,ablegen;DERel;
;;ablehne;deel2;DERel;
;;ablehnen;;DEInf;
;;ablehnend;KB14;DEPredadj;
;;ablehnende;KB08;DEAttradj;
;;ablehnenden;KB08;DEAttradj;
;;ablehnst;KB11,ablehnen;DERel;
;;ablehnt;;DERel;
;;ablehnte;deel3;DERel;
;;ablehnten;deel3;DERel;
;;ableiste;KB11,ableisten;DERel;
;;ableisten;deel4;DEInf;
;;ableistest;KB11,ableisten;DERel;
;;ableistet;KB11,ableisten;DERel;
;;ableistete;KB11,ableisten;DERel;
;;ableisteten;KB11,ableisten;DERel;
;;ableite;KB11,ableiten;DERel;
;;ableiten;deel3;DEInf;
;;ableitest;KB11,ableiten;DERel;
;;ableitet;KB11;DERel;
;;ableitete;KB11,ableiten;DERel;
;;ableiteten;KB11,ableiten;DERel;
;;ablenke;KB11,ablenken;DERel;
;;ablenken;deel2;DEInf;
;;ablenkst;KB11,ablenken;DERel;
;;ablenkt;KB11,ablenken;DERel;
;;ablenkte;KB11,ablenken;DERel;
;;ablenkten;KB11,ablenken;DERel;
;;ablese;KB11,ablesen;DERel;
;;ablesen;deel4;DEInf;
;;ablest;KB11,ablesen;DERel;
;;ablichte;KB11,ablichten;DERel;
;;ablichten;KB11,ablichten;DEInf;
;;ablichtest;KB11,ablichten;DERel;
;;ablichtet;KB11,ablichten;DERel;
;;ablichtete;KB11;DEVerbAdj;
;;ablichteten;KB11,ablichten;DERel;
;;ablief;KB11,ablaufen;DERel;
;;abliefen;KB11,ablaufen;DERel;
;;abliefere;KB11,abliefern;DERel;
;;abliefern;deel4;DEInf;
;;ablieferst;KB11,abliefern;DERel;
;;abliefert;KB11,abliefern;DERel;
;;ablieferte;KB11,abliefern;DERel;
;;ablieferten;KB11;DERel;
;;abliess;KB11,ablassen;DERel;
;;abliessen;KB11,ablassen;DERel;
;;abliest;KB11;DERel;
;;ablöse;deel4;DERel;
;;ablösen;;DEInf;
;;ablöst;deel3;DERel;
;;ablöste;KB11;DERel;
;;ablösten;KB11,ablösen;DERel;
;;ablud;KB11,abladen;DERel;
;;abluden;KB11,abladen;DERel;
;;abmagere;KB11,abmagern;DERel;
;;abmagern;KB11,abmagern;DEInf;
;;abmagerst;KB11,abmagern;DERel;
;;abmagert;KB11,abmagern;DERel;
;;abmagerte;KB11,abmagern;DERel;
;;abmagerten;KB11,abmagern;DERel;
;;abmahne;KB11,abmahnen;DERel;
;;abmahnen;KB11,abmahnen;DEInf;
;;abmahnst;KB11,abmahnen;DERel;
;;abmahnt;KB11,abmahnen;DERel;
;;abmahnte;KB11,abmahnen;DERel;
;;abmahnten;KB11,abmahnen;DERel;
;;abmelde;KB11,abmelden;DERel;
;;abmelden;deel5;DEInf;
;;abmeldest;KB11,abmelden;DERel;
;;abmeldet;KB11,abmelden;DERel;
;;abmeldete;KB11,abmelden;DERel;
;;abmeldeten;KB11,abmelden;DERel;
;;abmildere;KB11,abmildern;DERel;
;;abmildern;deel4;DEInf;
;;abmilderst;KB11,abmildern;DERel;
;;abmildert;KB11,abmildern;DERel;
;;abmilderte;KB11,abmildern;DERel;
;;abmilderten;KB11,abmildern;DERel;
;;abmontiere;KB11,abmontieren;DERel;
;;abmontieren;KB11,abmontieren;DEInf;
;;abmontierst;KB11,abmontieren;DERel;
;;abmontiert;deel4;DERel;
;;abmontierte;KB11,abmontieren;DEVerbAdj;
;;abmontierten;KB11,abmontieren;DEVerbAdj;
;;abmopse;KB11,abmopsen;DERel;
;;abmopsen;KB11,abmopsen;DEInf;
;;abmopst;KB11,abmopsen;DERel;
;;abmopste;KB11,abmopsen;DERel;
;;abmopsten;KB11,abmopsen;DERel;
;;abnahm;KB11;DERel;
;;abnahmen;KB11;DERel;
;;abnehme;deel4;DERel;
;;abnehmen;deel2;DEInf;
;;abnehmende;DTI,abnehmend;DEAttradj;
;;abnehmendem;DTI,abnehmend;DEAttradj;
;;abnehmenden;DTI,abnehmend;DEAttradj;
;;abnehmender;DTI,abnehmend;DEAttradj;
;;abnehmendes;DTI,abnehmend;DEAttradj;
;;abnehmt;KB11,abnehmen;DERel;
;;abnicke;KB11,abnicken;DERel;
;;abnicken;KB11,abnicken;DEInf;
;;abnickst;KB11,abnicken;DERel;
;;abnickt;KB11,abnicken;DERel;
;;abnickte;KB11,abnicken;DERel;
;;abnickten;KB11,abnicken;DERel;
;;abnimmst;KB11,abnehmen;DERel;
;;abnimmt;deel4;DERel;
;;abonnieren;KB14;DEInf;
;;abordne;KB11,abordnen;DERel;
;;abordnen;KB11,abordnen;DEInf;
;;abordnest;KB11,abordnen;DERel;
;;abordnet;KB11,abordnen;DERel;
;;abordnete;KB11,abordnen;DERel;
;;abordneten;KB11,abordnen;DERel;
;;abpralle;KB11,abprallen;DERel;
;;abprallen;KB11;DEInf;
;;abprallst;KB11,abprallen;DERel;
;;abprallt;KB11,abprallen;DERel;
;;abprallte;KB11,abprallen;DERel;
;;abprallten;KB11,abprallen;DERel;
;;abpumpe;KB11,abpumpen;DERel;
;;abpumpen;deel3;DEInf;
;;abpumpst;KB11,abpumpen;DERel;
;;abpumpt;KB11,abpumpen;DERel;
;;abpumpte;KB11,abpumpen;DERel;
;;abpumpten;KB11,abpumpen;DERel;
;;abqualifiziere;KB11,abqualifizieren;DERel;
;;abqualifizieren;KB11,abqualifizieren;DEInf;
;;abqualifizierst;KB11,abqualifizieren;DERel;
;;abqualifiziert;KB11,abqualifizieren;DERel;
;;abqualifizierte;KB11,abqualifizieren;DEVerbAdj;
;;abqualifizierten;KB11,abqualifizieren;DEVerbAdj;
;;abrät;KB11,abraten;DERel;
;;abrätst;KB11,abraten;DERel;
;;abrate;KB11,abraten;DERel;
;;abraten;KB11,abraten;DEInf;
;;abratet;KB11,abraten;DERel;
;;abrechne;KB11,abrechnen;DERel;
;;abrechnen;deel3;DEInf;
;;abrechnest;KB11,abrechnen;DERel;
;;abrechnet;KB11,abrechnen;DERel;
;;abrechnete;KB11,abrechnen;DERel;
;;abrechneten;KB11,abrechnen;DERel;
;;abreden;KB14,abreden;DERelCon;
;;abreise;KB11,abreisen;DERelCon;
;;abreisen;KB11,abreisen;DERelCon;
;;abreisse;KB11,abreissen;DERel;
;;abreissen;deel3;DEInf;
;;abreisst;KB11;DERel;
;;abreist;KB11,abreisen;DERel;
;;abreiste;KB11,abreisen;DERel;
;;abreisten;KB11,abreisen;DERel;
;;abriegele;KB11,abriegeln;DERel;
;;abriegeln;KB11,abriegeln;DEInf;
;;abriegelst;KB11,abriegeln;DERel;
;;abriegelt;KB11,abriegeln;DERel;
;;abriegelte;KB11,abriegeln;DERel;
;;abriegelten;KB11,abriegeln;DERel;
;;abriet;KB11,abraten;DERel;
;;abrieten;KB11,abraten;DERel;
;;abriss;KB11,abreissen;DERelCon;
;;abrisse;KB11;DERelCon;
;;abrissen;KB11,abreissen;DERelCon;
;;abrolle;KB11,abrollen;DERel;
;;abrollen;KB11,abrollen;DEInf;
;;abrollst;KB11,abrollen;DERel;
;;abrollt;KB11,abrollen;DERel;
;;abrollte;KB11,abrollen;DERel;
;;abrollten;KB11,abrollen;DERel;
;;abrücke;KB11,abrücken;DERel;
;;abrücken;deel2;DEInf;
;;abrückst;KB11,abrücken;DERel;
;;abrückt;KB11,abrücken;DERel;
;;abrückte;KB07;DERel;
;;abrückten;KB11,abrücken;DERel;
;;abrüste;KB11,abrüsten;DERel;
;;abrüsten;KB11,abrüsten;DEInf;
;;abrüstest;KB11,abrüsten;DERel;
;;abrüstet;KB11,abrüsten;DERel;
;;abrüstete;KB11,abrüsten;DERel;
;;abrüsteten;KB11,abrüsten;DERel;
;;abrufbar;KB08;DEPredadj;
;;abrufe;KB11,abrufen;DERelCon;
;;abrufen;deel3;DEInf;
;;abrufst;KB11,abrufen;DERel;
;;abruft;KB11,abrufen;DERel;
;;abrunde;KB11,abrunden;DERel;
;;abrunden;KB11,abrunden;DEInf;
;;abrundest;KB11,abrunden;DERel;
;;abrundet;KB11,abrunden;DERel;
;;abrundete;KB11,abrunden;DERel;
;;abrundeten;KB11,abrunden;DERel;
;;abrutsche;KB11,abrutschen;DERel;
;;abrutschen;deel3;DEInf;
;;abrutschst;KB11,abrutschen;DERel;
;;abrutscht;KB11,abrutschen;DERel;
;;abrutschte;KB11,abrutschen;DERel;
;;abrutschten;KB11,abrutschen;DERel;
;;absage;;DERelCon;
;;absagen;deel2;DEInf;
;;absagst;KB11,absagen;DERel;
;;absagt;KB11,absagen;DERel;
;;absagte;KB11,absagen;DERel;
;;absagten;KB11,absagen;DERel;
;;absah;KB11,absehen;DERel;
;;absahen;KB11,absehen;DERel;
;;absank;KB11,absinken;DERel;
;;absanken;KB11,absinken;DERel;
;;absass;KB11,absitzen;DERel;
;;absassen;KB11,absitzen;DERel;
;;abschätze;KB11,abschätzen;DERel;
;;abschätzen;deel3;DEInf;
;;abschätzt;KB11,abschätzen;DERel;
;;abschätzte;KB11,abschätzen;DERel;
;;abschätzten;KB11,abschätzen;DERel;
;;abschaffe;deel5;DERel;
;;abschaffen;;DEInf;
;;abschaffst;KB11,abschaffen;DERel;
;;abschafft;KB11,abschaffen;DERel;
;;abschaffte;KB11,abschaffen;DERel;
;;abschafften;KB11,abschaffen;DERel;
;;abschalte;KB11,abschalten;DERel;
;;abschalten;deel2;DEInf;
;;abschaltest;KB11,abschalten;DERel;
;;abschaltet;KB11,abschalten;DERel;
;;abschaltete;KB11,abschalten;DERel;
;;abschalteten;KB11,abschalten;DERel;
;;abschaue;KB11,abschauen;DERel;
;;abschauen;KB11;DEInf;
;;abschaust;KB11,abschauen;DERel;
;;abschaut;KB11,abschauen;DERel;
;;abschaute;KB11,abschauen;DERel;
;;abschauten;KB11,abschauen;DERel;
;;abscheulichen;KB08;DEAttradj;
;;abschicke;KB11,abschicken;DERel;
;;abschicken;KB11,abschicken;DEInf;
;;abschickst;KB11,abschicken;DERel;
;;abschickt;KB11,abschicken;DERel;
;;abschickte;KB11,abschicken;DERel;
;;abschickten;KB11,abschicken;DERel;
;;abschiebe;KB11,abschieben;DERel;
;;abschieben;deel2;DEInf;
;;abschiebst;KB11,abschieben;DERel;
;;abschiebt;KB11,abschieben;DERel;
;;abschiesse;KB11,abschiessen;DERel;
;;abschiessen;deel4;DEInf;
;;abschiesst;KB11,abschiessen;DERel;
;;abschirme;KB11,abschirmen;DERel;
;;abschirmen;KB11,abschirmen;DEInf;
;;abschirmst;KB11,abschirmen;DERel;
;;abschirmt;KB11,abschirmen;DERel;
;;abschirmte;KB11,abschirmen;DERel;
;;abschirmten;KB11,abschirmen;DERel;
;;abschlägst;KB11,abschlagen;DERel;
;;abschlägt;KB11,abschlagen;DERel;
;;abschlage;KB11,abschlagen;DERel;
;;abschlagen;KB11,abschlagen;DEInf;
;;abschlagt;KB11,abschlagen;DERel;
;;abschleppe;KB11,abschleppen;DERel;
;;abschleppen;KB11,abschleppen;DEInf;
;;abschleppst;KB11,abschleppen;DERel;
;;abschleppt;KB11,abschleppen;DERel;
;;abschleppte;KB11,abschleppen;DERel;
;;abschleppten;KB11,abschleppen;DERel;
;;abschliesse;KB11,abschliessen;DERel;
;;abschliessen;deel2;DEInf;
;;abschliessend;KB08;DEPredadj;
;;abschliessende;KB08;DEAttradj;
;;abschliessenden;KB08;DEAttradj;
;;abschliessender;KB08;DEAttradj;
;;abschliesst;deel4;DERel;
;;abschloss;KB11,abschliessen;DERel;
;;abschlossen;KB11,abschliessen;DERel;
;;abschlug;KB11,abschlagen;DERel;
;;abschlugen;KB11,abschlagen;DERel;
;;abschmelze;KB11,abschmelzen;DERel;
;;abschmelzen;deel4;DEInf;
;;abschmelzt;KB11,abschmelzen;DERel;
;;abschmilzt;KB11,abschmelzen;DERel;
;;abschmolz;KB11,abschmelzen;DERel;
;;abschmolzen;KB11,abschmelzen;DERel;
;;abschneide;KB11,abschneiden;DERel;
;;abschneiden;;DEInf;
;;abschneidest;KB11,abschneiden;DERel;
;;abschneidet;KB11,abschneiden;DERel;
;;abschnitt;deel2;DERelCon;
;;abschnitten;deel2;DERelCon;
;;abschob;KB11,abschieben;DERel;
;;abschoben;KB11,abschieben;DERel;
;;abschöpfe;KB11,abschöpfen;DERel;
;;abschöpfen;KB11;DEInf;
;;abschöpfst;KB11,abschöpfen;DERel;
;;abschöpft;KB11,abschöpfen;DERel;
;;abschöpfte;KB11,abschöpfen;DERel;
;;abschöpften;KB11,abschöpfen;DERel;
;;abschoss;KB11,abschiessen;DERel;
;;abschossen;KB11,abschiessen;DERel;
;;abschotte;KB11,abschotten;DERel;
;;abschotten;deel5;DEInf;
;;abschottest;KB11,abschotten;DERel;
;;abschottet;KB11,abschotten;DERel;
;;abschottete;KB11,abschotten;DERel;
;;abschotteten;KB11,abschotten;DERel;
;;abschrecke;KB11,abschrecken;DERel;
;;abschrecken;deel3;DEInf;
;;abschreckend;KB08;DEPredadj;
;;abschreckende;KB08;DEAttradj;
;;abschreckst;KB11,abschrecken;DERel;
;;abschreckt;KB11,abschrecken;DERel;
;;abschreckte;KB11,abschrecken;DERel;
;;abschreckten;KB11,abschrecken;DERel;
;;abschreibe;KB11,abschreiben;DERel;
;;abschreiben;deel4;DEInf;
;;abschreibst;KB11,abschreiben;DERel;
;;abschreibt;KB11,abschreiben;DERel;
;;abschrieb;KB11,abschreiben;DERel;
;;abschrieben;KB11,abschreiben;DERel;
;;abschüttele;KB11,abschütteln;DERel;
;;abschütteln;KB11;DEInf;
;;abschüttelst;KB11,abschütteln;DERel;
;;abschüttelt;KB11,abschütteln;DERel;
;;abschüttelte;KB11,abschütteln;DERel;
;;abschüttelten;KB11,abschütteln;DERel;
;;abschwäche;KB11,abschwächen;DERel;
;;abschwächen;deel3;DEInf;
;;abschwächst;KB11,abschwächen;DERel;
;;abschwächt;KB11;DERel;
;;abschwächte;KB11,abschwächen;DERel;
;;abschwächten;KB11,abschwächen;DERel;
;;abschwenke;KB11,abschwenken;DERel;
;;abschwenken;KB11,abschwenken;DEInf;
;;abschwenkst;KB11,abschwenken;DERel;
;;abschwenkt;KB11,abschwenken;DERel;
;;abschwenkte;KB11,abschwenken;DERel;
;;abschwenkten;KB11,abschwenken;DERel;
;;abschwöre;KB11,abschwören;DERel;
;;abschwören;deel4;DEInf;
;;abschwörst;KB11,abschwören;DERel;
;;abschwört;KB11,abschwören;DERel;
;;abschwor;KB11,abschwören;DERel;
;;abschworen;KB11,abschwören;DERel;
;;absegne;KB11,absegnen;DERel;
;;absegnen;deel4;DEInf;
;;absegnest;KB11,absegnen;DERel;
;;absegnet;KB11,absegnen;DERel;
;;absegnete;KB11,absegnen;DERel;
;;absegneten;KB11,absegnen;DERel;
;;absehbar;KB08;DEPredadj;
;;absehbare;KB08;DEAttradj;
;;absehbaren;KB08;DEAttradj;
;;absehbarer;KB08;DEAttradj;
;;absehe;KB11,absehen;DERel;
;;absehen;deel3;DEInf;
;;abseht;KB11,absehen;DERel;
;;absenke;KB11,absenken;DERel;
;;absenken;deel3;DEInf;
;;absenkst;KB11,absenken;DERel;
;;absenkt;KB11,absenken;DERel;
;;absenkte;KB11,absenken;DERel;
;;absenkten;KB11,absenken;DERel;
;;absetzbar;KB08;DEPredadj;
;;absetze;KB11,absetzen;DERel;
;;absetzen;deel2;DEInf;
